row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,Thiết bị dụng cụquản lýTriệu đồng,Tài sản cố địnhkhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,numeric__Thiết bị dụng cụquản lýTriệu đồng,numeric__Tài sản cố địnhkhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.870.155,3.411 940,943.307,130.804,91.871,9.448.077,4870155.0,,943307.0,130804.0,91871.0,9448077.0
Mua trcng năm,Nguyên giá > Mua trcng năm,Mua trcng năm,8.500,115 206,13.236,6.735,9.982,153.659,8500.0,,13236.0,6735.0,9982.0,153659.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,527.943,206 877,44.719,18.228,4.566,802.333,527943.0,,44719.0,18228.0,4566.0,802333.0
Mua lại TSCĐ thuê tài chính,Nguyên giá > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,-,142 704,10.003,-,-,152.707,,,10003.0,,,152707.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(10.043),(75.923),(24.022),(3.362),(1.704),(115.054),-10043.0,-75923.0,-24022.0,-3362.0,-1704.0,-115054.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,114.359,37.262,536,230,82,152.469,114359.0,37262.0,536.0,230.0,82.0,152469.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,5.510.914,3.838 066,987.779,152.635,104.797,10.594.191,5510914.0,,987779.0,152635.0,104797.0,10594191.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.291.609,2.443 929,597.255,87.260,56.994,4.477.047,1291609.0,,597255.0,87260.0,56994.0,4477047.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,232.947,289 284,80.146,21.307,17.760,641.444,232947.0,,80146.0,21307.0,17760.0,641444.0
Mua lại TSCĐ thuê tài chính,Giá trị hao mòn lũy kế > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,-,66 460,7.288,-,-,73.748,,,7288.0,,,73748.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.554),(75.091),(23.015),(3.202),(1.614),(110.476),-7554.0,-75091.0,-23015.0,-3202.0,-1614.0,-110476.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,6.716,14 331,7.414,2.653,335,31.449,6716.0,,7414.0,2653.0,335.0,31449.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.523.718,2.738 913,669.088,108.018,73.475,5.113.212,1523718.0,,669088.0,108018.0,73475.0,5113212.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.578.546,968 011,346.052,43.544,34.877,4.971.030,3578546.0,,346052.0,43544.0,34877.0,4971030.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.987.196,1.099 153,318.691,44.617,31.322,5.480.979,3987196.0,,318691.0,44617.0,31322.0,5480979.0
