row_label_raw,row_label_full,col_0,Chưa quá hạn vàkhông giảm giá trịVND,Quá hạn nhungkhông giảm giá trịriêng lẻVND,Bị giảm giá trịriêng lẻ (*)VND,TổngVND,numeric__Chưa quá hạn vàkhông giảm giá trịVND,numeric__Quá hạn nhungkhông giảm giá trịriêng lẻVND,numeric__Bị giảm giá trịriêng lẻ (*)VND,numeric__TổngVND
TẢI SẢN (trình bày lại),TẢI SẢN (trình bày lại),TẢI SẢN (trình bày lại),TẢI SẢN (trình bày lại),TẢI SẢN (trình bày lại),TẢI SẢN (trình bày lại),TẢI SẢN (trình bày lại),,,,
Tiền và các khoản tương đương tiền,TẢI SẢN (trình bày lại) > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,3.789.197.489.323,-,-,3.789.197.489.323,3789197489323.0,,,3789197489323.0
Phải thu hoạt động bảo hiểm gốc,TẢI SẢN (trình bày lại) > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,1.073.594.733.521,122.972.571.479,27.533.798.355,1.224.101.103.355,1073594733521.0,122972571479.0,27533798355.0,1224101103355.0
Phải thu tái bảo hiểm,TẢI SẢN (trình bày lại) > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,894.356.442.341,-,-,894.356.442.341,894356442341.0,,,894356442341.0
Tài sản tái bảo hiểm,TẢI SẢN (trình bày lại) > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,2.344.654.814.506,-,-,2.344.654.814.506,2344654814506.0,,,2344654814506.0
Các khoản phải thu khác,TẢI SẢN (trình bày lại) > Các khoản phải thu khác,Các khoản phải thu khác,113.844.626.644,-,-,113.844.626.644,113844626644.0,,,113844626644.0
"- Các khoản cầm cố, ký quỹ, ký cược","TẢI SẢN (trình bày lại) > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",83.911.466.370,-,-,83.911.466.370,83911466370.0,,,83911466370.0
- Phải thu cố tức,TẢI SẢN (trình bày lại) > - Phải thu cố tức,- Phải thu cố tức,29.933.160.274,-,-,29.933.160.274,29933160274.0,,,29933160274.0
Đầu tư nằm giữ đến ngày đáo hạn,TẢI SẢN (trình bày lại) > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,70.872.464.852.655,-,189.900.926.600,71.062.365.779.255,70872464852655.0,,189900926600.0,71062365779255.0
- Hop đồng tiền gửi có ký hạn,TẢI SẢN (trình bày lại) > - Hop đồng tiền gửi có ký hạn,- Hop đồng tiền gửi có ký hạn,31.042.992.116.181,-,-,31.042.992.116.181,31042992116181.0,,,31042992116181.0
- Trái phiếu,TẢI SẢN (trình bày lại) > - Trái phiếu,- Trái phiếu,39.829.472.736.474,-,189.900.926.600,40.019.373.663.074,39829472736474.0,,189900926600.0,40019373663074.0
Chứng khoán kinh doanh,TẢI SẢN (trình bày lại) > Chứng khoán kinh doanh,Chứng khoán kinh doanh,120.026.959.200,-,-,120.026.959.200,120026959200.0,,,120026959200.0
- Trái phiếu,TẢI SẢN (trình bày lại) > - Trái phiếu,- Trái phiếu,120.026.959.200,-,-,120.026.959.200,120026959200.0,,,120026959200.0
Các khoản cho vay và tạm ứng cho khách hàng,TẢI SẢN (trình bày lại) > Các khoản cho vay và tạm ứng cho khách hàng,Các khoản cho vay và tạm ứng cho khách hàng,1.568.596.621.177,1.229.997.460,675.773.099,1.570.502.391.736,1568596621177.0,1229997460.0,675773099.0,1570502391736.0
Các tài sản khác,TẢI SẢN (trình bày lại) > Các tài sản khác,Các tài sản khác,399.514.452.429,3.170.895.849,4.334.200.875,407.019.549.153,399514452429.0,3170895849.0,4334200875.0,407019549153.0
TỔNG CỘNG,TẢI SẢN (trình bày lại) > TỔNG CỘNG,TỔNG CỘNG,81.176.250.991.796,127.373.464.788,222.444.698.929,81.526.069.155.513,81176250991796.0,127373464788.0,222444698929.0,81526069155513.0
