row_label_raw,row_label_full,STT,CHÌ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHÌ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN,,,,,,,
I.,A. > I.,I.,"Tiền mặt, vàng bạc, đá quý",4,5.187.132,5.090.768,,4.0,5187132.0,5090768.0
II.,A. > II.,II.,"Tiền gửi tại Ngân hàng Nhà nước (""NHNN"")",5,13.502.594,11.892.969,,5.0,13502594.0,11892969.0
III.,A. > III.,III.,Tiền gửi và cho vay các TCTD khác,6,94.469.281,66.018.789,,6.0,94469281.0,66018789.0
1.,A. > 1.,1.,Tiền gửi tại các TCTD khác,,91.031.828,64.385.375,,,91031828.0,64385375.0
2.,A. > 2.,2.,Cho vay các TCTD khác,,3.437.453,1.633.414,,,3437453.0,1633414.0
3.,3.,3.,Dự phòng rủi ro,,-,-,,,,
IV.,3. > IV.,IV.,Chứng khoán kinh doanh,7,1.894.690,3.346.354,,7.0,1894690.0,3346354.0
1.,3. > 1.,1.,Chứng khoán kinh doanh,,1.974.670,3.373.406,,,1974670.0,3373406.0
2.,3. > 2.,2.,Dự phòng rủi ro chứng khoán kinh doanh,,(79.980),(27.052),,,-79980.0,-27052.0
V.,3. > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,682.690,-,,8.0,682690.0,
VI.,3. > VI.,VI.,Cho vay khách hàng,,655.125.731,533.530.118,,,655125731.0,533530118.0
1.,3. > 1.,1.,Cho vay khách hàng,9,661.987.797,538.079.829,,9.0,661987797.0,538079829.0
2.,3. > 2.,2.,Dự phòng rủi ro cho vay khách hàng,10,(6.862.066),(4.549.711),,10.0,-6862066.0,-4549711.0
VII.,3. > VII.,VII.,Chứng khoán đầu tư,11,134.226.686,120.024.229,,11.0,134226686.0,120024229.0
1.,3. > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,,125.573.894,108.940.288,,,125573894.0,108940288.0
2.,3. > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,,11.743.021,12.928.649,,,11743021.0,12928649.0
3.,3. > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,12,(3.090.229),(1.844.708),,12.0,-3090229.0,-1844708.0
VIII.,3. > VIII.,VIII.,"Góp vốn, đầu tư dài hạn",13,3.202.637,3.892.314,,13.0,3202637.0,3892314.0
1.,3. > 1.,1.,Vốn góp liên doanh,,2.774.766,2.782.845,,,2774766.0,2782845.0
2.,3. > 2.,2.,Đầu tư dài hạn khác,,430.445,1.131.164,,,430445.0,1131164.0
3.,3. > 3.,3.,Dự phòng giảm giá đầu tư dài hạn,,(2.574),(21.695),,,-2574.0,-21695.0
IX.,3. > IX.,IX.,Tài sản cố định,,10.615.318,8.665.767,,,10615318.0,8665767.0
1.,3. > 1.,1.,Tài sản cố định hữu hình,14,6.422.471,4.374.977,,14.0,6422471.0,4374977.0
a.,3. > a.,a.,Nguyên giá TSCĐ,,12.538.329,9.746.338,,,12538329.0,9746338.0
b.,3. > b.,b.,Hao mòn TSCĐ,,(6.115.858),(5.371.361),,,-6115858.0,-5371361.0
2.,3. > 2.,2.,Tài sản cố định vô hình,15,4.192.847,4.290.790,,15.0,4192847.0,4290790.0
a.,3. > a.,a.,Nguyên giá TSCĐ,,5.141.691,5.090.892,,,5141691.0,5090892.0
b.,3. > b.,b.,Hao mòn TSCĐ,,(948.844),(800.102),,,-948844.0,-800102.0
X.,3. > X.,X.,Tài sản Có khác,,29.792.264,27.022.179,,,29792264.0,27022179.0
1.,3. > 1.,1.,Các khoản phải thu,16,12.572.928,10.799.595,,16.0,12572928.0,10799595.0
2.,3. > 2.,2.,"Các khoản lãi, phí phải thu",,14.207.830,12.863.853,,,14207830.0,12863853.0
3.,3. > 3.,3.,Tài sản Có khác,17,3.013.053,3.360.668,,17.0,3013053.0,3360668.0
,,,- Trong đó: Lợi thế thương mại,18,4.537,6.352,,18.0,4537.0,6352.0
4.,3. > 4.,4.,Dự phòng rủi ro cho các tài sản Có nội bảng khác,,(1.547),(1.937),,,-1547.0,-1937.0
TỔNG TÀI SẢN CÓ,3. > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,948.699.023,779.483.487,,,948699023.0,779483487.0
