row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Trang thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Trang thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.830.149.335.648,1.133.035.207.864,187.682.985.917,10.466.303.235,3.161.333.832.664,1830149335648.0,1133035207864.0,187682985917.0,10466303235.0,3161333832664.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,3.211.826.858,12.124.597.944,207.000.000,15.543.424.802,,3211826858.0,12124597944.0,207000000.0,15543424802.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,85.745.473.950,3.345.713.857,-,-,89.091.187.807,85745473950.0,3345713857.0,,,89091187807.0
- Phân loại từ tài sản thuê tài chính,Nguyên giá: > - Phân loại từ tài sản thuê tài chính,- Phân loại từ tài sản thuê tài chính,-,110.340.511.458,-,-,110.340.511.458,,110340511458.0,,,110340511458.0
- Điều chuyển tài sản cho công ty con (*),Nguyên giá: > - Điều chuyển tài sản cho công ty con (*),- Điều chuyển tài sản cho công ty con (*),(4.372.245.114),-,-,-,(4.372.245.114),-4372245114.0,,,,-4372245114.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(1.778.535.353),(2.648.978.818),(499.418.791),(4.926.932.962),,-1778535353.0,-2648978818.0,-499418791.0,-4926932962.0
- Góp vốn bằng tài sản vào công ty con (*),Nguyên giá: > - Góp vốn bằng tài sản vào công ty con (*),- Góp vốn bằng tài sản vào công ty con (*),(38.919.577.606),-,-,-,(38.919.577.606),-38919577606.0,,,,-38919577606.0
- Giảm khác,Nguyên giá: > - Giảm khác,- Giảm khác,(5.175.532.572),-,-,-,(5.175.532.572),-5175532572.0,,,,-5175532572.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.867.427.454.306,1.248.154.724.684,197.158.605.043,10.173.884.444,3.322.914.668.477,1867427454306.0,1248154724684.0,197158605043.0,10173884444.0,3322914668477.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,21.838.655.802,237.908.315.858,61.694.065.952,4.494.223.218,325.935.260.830,21838655802.0,237908315858.0,61694065952.0,4494223218.0,325935260830.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,543.109.765.186,482.520.935.338,113.661.729.885,6.054.038.166,1.145.346.468.575,543109765186.0,482520935338.0,113661729885.0,6054038166.0,1145346468575.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,107.746.759.492,102.058.162.368,16.693.158.398,2.201.636.071,228.699.716.329,107746759492.0,102058162368.0,16693158398.0,2201636071.0,228699716329.0
- Phân loại từ tài sản thuê tài chính,Giá trị khấu hao lũy kế: > - Phân loại từ tài sản thuê tài chính,- Phân loại từ tài sản thuê tài chính,-,50.059.285.803,-,-,50.059.285.803,,50059285803.0,,,50059285803.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(1.778.535.353),(2.648.978.818),(499.418.791),(4.926.932.962),,-1778535353.0,-2648978818.0,-499418791.0,-4926932962.0
- Góp vốn bằng tài sản vào công ty con,Giá trị khấu hao lũy kế: > - Góp vốn bằng tài sản vào công ty con,- Góp vốn bằng tài sản vào công ty con,(5.787.658.056),-,-,-,(5.787.658.056),-5787658056.0,,,,-5787658056.0
- Giảm khác,Giá trị khấu hao lũy kế: > - Giảm khác,- Giảm khác,(2.328.989.657),-,-,-,(2.328.989.657),-2328989657.0,,,,-2328989657.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,642.739.876.965,632.859.848.156,127.705.909.465,7.756.255.446,1.411.061.890.032,642739876965.0,632859848156.0,127705909465.0,7756255446.0,1411061890032.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,1.287.039.570.462,650.514.272.526,74.021.256.032,4.412.265.069,2.015.987.364.089,1287039570462.0,650514272526.0,74021256032.0,4412265069.0,2015987364089.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.224.687.577.341,615.294.876.528,69.452.695.578,2.417.628.998,1.911.852.778.445,1224687577341.0,615294876528.0,69452695578.0,2417628998.0,1911852778445.0
Trong đó:Tài sản sử dụng để thế chấp (**),Giá trị còn lại: > Trong đó:Tài sản sử dụng để thế chấp (**),Trong đó:Tài sản sử dụng để thế chấp (**),128.583.877.408,134.634.173.470,7.581.028.669,-,270.799.079.547,128583877408.0,134634173470.0,7581028669.0,,270799079547.0
