row_label_raw,row_label_full,31/12/2019,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,168.009.328.834,-,168.009.328.834,168009328834.0,,168009328834.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,245.807.632.154,-,245.807.632.154,245807632154.0,,245807632154.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,630.924.258.735,-,630.924.258.735,630924258735.0,,630924258735.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,1.142.742.968.268,1.221.645.803.782,2.364.388.772.050,1142742968268.0,1221645803782.0,2364388772050.0
Phải thu khác,Phải thu khác,Phải thu khác,736.158.370.943,4.760.214.828,740.918.585.771,736158370943.0,4760214828.0,740918585771.0
Cộng,Cộng,Cộng,2.923.642.558.934,1.226.406.018.610,4.150.048.577.544,2923642558934.0,1226406018610.0,4150048577544.0
01/01/2019,01/01/2019,01/01/2019,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2019 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,79.631.825.874,-,79.631.825.874,79631825874.0,,79631825874.0
Chứng khoán kinh doanh,01/01/2019 > Chứng khoán kinh doanh,Chứng khoán kinh doanh,264.000.000.000,-,264.000.000.000,264000000000.0,,264000000000.0
Phải thu khách hàng,01/01/2019 > Phải thu khách hàng,Phải thu khách hàng,797.335.913.576,-,797.335.913.576,797335913576.0,,797335913576.0
Phải thu về cho vay,01/01/2019 > Phải thu về cho vay,Phải thu về cho vay,1.406.186.045.804,476.062.735.933,1.882.248.781.737,1406186045804.0,476062735933.0,1882248781737.0
Phải thu khác,01/01/2019 > Phải thu khác,Phải thu khác,221.702.183.387,325.775.091.484,547.477.274.871,221702183387.0,325775091484.0,547477274871.0
Đầu tư góp vốn vào đơn vị khác,01/01/2019 > Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,-,1.020.000.000,1.020.000.000,,1020000000.0,1020000000.0
Cộng,01/01/2019 > Cộng,Cộng,2.768.855.968.641,802.857.827.417,3.571.713.796.058,2768855968641.0,802857827417.0,3571713796058.0
