row_label_raw,row_label_full,Bên liên quan > Tập đoàn Công nghiệp Than - Khoáng Sản Việt Nam,Số cuối năm > 5.085.570.924,Số đầu năm > 3.159.305.633,numeric__Số cuối năm > 5.085.570.924,numeric__Số đầu năm > 3.159.305.633
Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,537.246.556,-,537246556.0,
Cộng,Cộng,Cộng,5.622.817.480,3.159.305.633,5622817480.0,3159305633.0
