row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số Thuyết minh,Mã số Thuyết minh_1,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,Nợ PHẢI TRẢ,300,,43.418.985.730.105,30.524.357.681.876,,300.0,,43418985730105.0,30524357681876.0
I.,I.,I.,Nợ ngắn hạn,310,,21.795.269.254.235,16.997.351.937.504,,310.0,,21795269254235.0,16997351937504.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,22,3.144.843.770.657,3.151.508.613.208,,311.0,22.0,3144843770657.0,3151508613208.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,23,2.025.785.525.588,2.212.822.297.841,,312.0,23.0,2025785525588.0,2212822297841.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,24,1.275.111.768.183,660.744.642.058,,313.0,24.0,1275111768183.0,660744642058.0
4.,4.,4.,Phải trả người lao động,314,,634.160.047.810,487.323.108.150,,314.0,,634160047810.0,487323108150.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,25,1.469.960.741.162,1.254.263.133.281,,315.0,25.0,1469960741162.0,1254263133281.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,26,186.105.152.042,56.718.828.412,,318.0,26.0,186105152042.0,56718828412.0
7.,7.,7.,Phải trả ngắn hạn khác,319,27,515.622.802.585,555.313.672.524,,319.0,27.0,515622802585.0,555313672524.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,28,12.168.371.064.316,8.239.063.820.719,,320.0,28.0,12168371064316.0,8239063820719.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,29,87.613.045.398,111.981.052.448,,321.0,29.0,87613045398.0,111981052448.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,30,287.695.336.494,267.612.768.863,,322.0,30.0,287695336494.0,267612768863.0
II.,II.,II.,Nợ dài hạn,330,,21.623.716.475.870,13.527.005.744.372,,330.0,,21623716475870.0,13527005744372.0
1.,1.,1.,Người mua trả tiền trước dài hạn,332,23,,214.545.803.726,,332.0,23.0,,214545803726.0
2.,2.,2.,Chỉ phí phải trả dài hạn,333,25,204.221.139.971,251.035.156.891,,333.0,25.0,204221139971.0,251035156891.0
3.,3.,3.,Doanh thu chưa thực hiện dài hạn,336,26,3.219.502.199.358,3.095.003.971.505,,336.0,26.0,3219502199358.0,3095003971505.0
4.,4.,4.,Phải trả dài hạn khác,337,27,129.070.377.619,84.046.142.084,,337.0,27.0,129070377619.0,84046142084.0
5.,5.,5.,Vay và nợ thuê tài chính dài hạn,338,28,16.668.389.829.851,8.306.581.259.300,,338.0,28.0,16668389829851.0,8306581259300.0
6.,6.,6.,Thuế thu nhập hoãn lại phải trả,341,31,760.429.842.862,630.632.267.480,,341.0,31.0,760429842862.0,630632267480.0
7.,7.,7.,Dự phòng phải trả dài hạn,342,29,277.449.980.475,515.637.096.063,,342.0,29.0,277449980475.0,515637096063.0
8.,8.,8.,Quỹ phát triển khoa học và công nghệ,343,32,364.653.105.734,429.524.047.323,,343.0,32.0,364653105734.0,429524047323.0
