row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1 > Khoản vay 10 > Khoản vay 11 > Khoản vay 12,Số cuối năm(VND) > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1 > 1.716.287.873 > 1.542.307.441 > 1.416.925.246,Ngày đáo hạn > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1 > Từ ngày 25 tháng 1 năm 2022đến ngày 18 tháng 4 năm 2022 > Từ ngày 25 tháng 2 năm 2022đến ngày 13 tháng 11 năm 2022 > Ngày 9 tháng 3 năm 2022,"Lãi suất > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1 > Lãi suất cơ bản cộng3,0%/năm",Tài sản đảm bảo(Thuyết minh số 13) > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1 > Máy móc thiết bị,numeric__Số cuối năm(VND) > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1 > 1.716.287.873 > 1.542.307.441 > 1.416.925.246,numeric__Ngày đáo hạn > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1 > Từ ngày 25 tháng 1 năm 2022đến ngày 18 tháng 4 năm 2022 > Từ ngày 25 tháng 2 năm 2022đến ngày 13 tháng 11 năm 2022 > Ngày 9 tháng 3 năm 2022,"numeric__Lãi suất > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1 > Lãi suất cơ bản cộng3,0%/năm",numeric__Tài sản đảm bảo(Thuyết minh số 13) > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh 1 > Máy móc thiết bị
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,80.364.322.170,,,,80364322170.0,,,
Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,41.278.111.090,,,,41278111090.0,,,
"Vay dài hạn,","Vay dài hạn,","Vay dài hạn,",39.086.211.080,,,,39086211080.0,,,
