row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phần Xây dựng HP Thăng Long (tên cũ là Công ty Cổ phần Xây lắp Hải Phát),Mối quan hệ > Công ty liên quan của thành viên gia đình của thành viên HĐQT đến ngày 1 tháng 11 năm 2019,Nội dung nghiệp vụ > Tiền xây lắp đã trả thông qua bù trừ công nợTiền xây lắp đã trảPhải trả tiền tiền xây lắp,Đơn vị tính: VND > Năm nay > -,Đơn vị tính: VND > Năm trước > 34.319.097.51053.304.901.366115.391.984.989,numeric__Mối quan hệ > Công ty liên quan của thành viên gia đình của thành viên HĐQT đến ngày 1 tháng 11 năm 2019,numeric__Nội dung nghiệp vụ > Tiền xây lắp đã trả thông qua bù trừ công nợTiền xây lắp đã trảPhải trả tiền tiền xây lắp,numeric__Đơn vị tính: VND > Năm nay > -,numeric__Đơn vị tính: VND > Năm trước > 34.319.097.51053.304.901.366115.391.984.989
Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty liên quan của thành viên HĐQT,Phải trả tiền xây dựng Đã trả tiền xây dựng,1.930.909.897977.220.000,7.224.163.8177.224.163.817,,,1.93090989797722e+18,7.224163817722416e+19
Công ty TNHH Một thành viên Bea Leasing,Công ty TNHH Một thành viên Bea Leasing,Công ty TNHH Một thành viên Bea Leasing,Công ty có chung thành viên chủ chốt,Doanh thu bán bất động sản,-,93.980.291.567,,,,93980291567.0
Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty liên quan của thành viên HĐQT,Chuyển trả tiền đặt cọc mua sản thương mạiChuyển tiền đặt cọc cho mục đích môi giới bắt động sản,-,20.000.000.0008.111.346.666,,,,2.0000000000811136e+20
Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty liên quan của thành viên HĐQT,Phải thu phí dịch vụPhí dịch vụ đã thuBù trừ ký quỹ theo biên bản thỏa thuận,19.863.981.77713.872.976.3683.228.653.334,-,,,1.986398177713873e+31,
Công ty HP Land,Công ty HP Land,Công ty HP Land,Công ty có chung thành viên quản lý chủ chốt với công ty con,"Nhận lại tiền đặt cọc Chuyển tiền đặt cọc Đã thu tiền chuyển nhượng bất động sảnPhải thu phí dịch vụ môi giớiPhải trả tiền mua sắm tài sản, dịch vụTrả trước tiền mua tài sản, dịch vụPhải thu phí môi giớiTiền mặt bằng đã thuPhí môi giới đã thuPhí dịch vụ đã thuPhải trả tiền thuê xeTiền thuê xe đã trảBù trừ công nợ",215.000.000.000215.000.000.000-159.876.968-12.790.857.36714.629.606.31542.366.827.305569.104.704356.400.000356.400.0004.089.044.787,605.000.000.000-254.816.534.714103.367.481.0689.109.653.13141.000.000.000-,,,,
Công ty TNHH Phát triển Địa ốc Hải Phong,Công ty HP Land > Công ty TNHH Phát triển Địa ốc Hải Phong,Công ty TNHH Phát triển Địa ốc Hải Phong,Công ty có chung thành viên chủ chốt,Chuyển tiền vốn góp,-,17.750.000.000,,,,17750000000.0
Công ty BT Hà Đông,Công ty HP Land > Công ty BT Hà Đông,Công ty BT Hà Đông,Công ty liên kết,Chuyển tiền góp vốn,5.826.607.167,18.688.322.582,,,5826607167.0,18688322582.0
