row_label_raw,row_label_full,Ông Phạm Như Ánh,Tổng Giám đốc,numeric__Tổng Giám đốc
Bà Nguyễn Minh Châu,Bà Nguyễn Minh Châu,Bà Nguyễn Minh Châu,Phó Tổng Giám đốc,
Bà Phạm Thị Trung Hà,Bà Phạm Thị Trung Hà,Bà Phạm Thị Trung Hà,Phó Tổng Giám đốc,
Ông Trần Minh Đạt,Ông Trần Minh Đạt,Ông Trần Minh Đạt,Phó Tổng Giám đốc,
Ông Hà Trọng Khiêm,Ông Hà Trọng Khiêm,Ông Hà Trọng Khiêm,Phó Tổng Giám đốc,
Ông Lê Quốc Minh,Ông Lê Quốc Minh,Ông Lê Quốc Minh,Phó Tổng Giám đốc,
Ông Nguyễn Xuân Học,Ông Nguyễn Xuân Học,Ông Nguyễn Xuân Học,Phó Tổng Giám đốc(Bỗ nhiệm ngày 2/7/2024),
Bà Trần Thị Bảo Quế,Bà Trần Thị Bảo Quế,Bà Trần Thị Bảo Quế,Thành viên,
Ông Vũ Thành Trung,Ông Vũ Thành Trung,Ông Vũ Thành Trung,Thành viên(Thời giữ chức vụ từ ngày 10/12/2024),
Ông Vũ Hồng Phú,Ông Vũ Hồng Phú,Ông Vũ Hồng Phú,Thành viên,
Bà Nguyễn Thị Ngọc,Bà Nguyễn Thị Ngọc,Bà Nguyễn Thị Ngọc,Thành viên(Bỗ nhiệm ngày 15/6/2024),
Bà Nguyễn Thị Thủy,Bà Nguyễn Thị Thủy,Bà Nguyễn Thị Thủy,Thành viên(Bỗ nhiệm ngày 15/6/2024),
Ông Lê Xuân Vũ,Ông Lê Xuân Vũ,Ông Lê Xuân Vũ,Thành viên(Thời giữ chức vụ ngày 10/12/2024),
Bà Nguyễn Thị Thanh Nga,Bà Nguyễn Thị Thanh Nga,Bà Nguyễn Thị Thanh Nga,Giám đốc Tài chính,
