row_label_raw,row_label_full,col_0,Giá trị ghi sổ trước thời điểm mua VND,Các điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại thời điểm mua VND,numeric__Giá trị ghi sổ trước thời điểm mua VND,numeric__Các điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại thời điểm mua VND
Tiền,Tiền,Tiền,9.953.425,-,9.953.425,9953425.0,,9953425.0
Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,272.087.800,-,272.087.800,272087800.0,,272087800.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,371.138.840,-,371.138.840,371138840.0,,371138840.0
Xây dựng cơ bản dở dang (thuyết minh 16),Xây dựng cơ bản dở dang (thuyết minh 16),Xây dựng cơ bản dở dang (thuyết minh 16),9.413.893.104,-,9.413.893.104,9413893104.0,,9413893104.0
Chi phí trả trước dài hạn (thuyết minh 17(b)),Chi phí trả trước dài hạn (thuyết minh 17(b)),Chi phí trả trước dài hạn (thuyết minh 17(b)),59.921.935,-,59.921.935,59921935.0,,59921935.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,(4.668.995.104),-,(4.668.995.104),-4668995104.0,,-4668995104.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,(8.000.000),-,(8.000.000),-8000000.0,,-8000000.0
Tài sản thuần có thể xác định được,Tài sản thuần có thể xác định được,Tài sản thuần có thể xác định được,5.450.000.000,-,5.450.000.000,5450000000.0,,5450000000.0
Giá trị ghi sổ của lợi ích vốn chủ sở hữu đã nấm giữ trước đây (40%) (thuyết minh 9(c)),Giá trị ghi sổ của lợi ích vốn chủ sở hữu đã nấm giữ trước đây (40%) (thuyết minh 9(c)),Giá trị ghi sổ của lợi ích vốn chủ sở hữu đã nấm giữ trước đây (40%) (thuyết minh 9(c)),,,2.180.000.000,,,2180000000.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,,,3.270.000.000,,,3270000000.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,,,(9.953.425),,,-9953425.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,,,3.260.046.575,,,3260046575.0
