row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Tập đoàn > 31/12/2015Nghin VND,Tập đoàn > 1/1/2015Nghin VNDĐã phân loại lại,Công tv > 31/12/2015Nghin VND,Công tv > 1/1/2015Nghin VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tập đoàn > 31/12/2015Nghin VND,numeric__Tập đoàn > 1/1/2015Nghin VNDĐã phân loại lại,numeric__Công tv > 31/12/2015Nghin VND,numeric__Công tv > 1/1/2015Nghin VND
NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,,,,,,
NỘ PHẢI TRẢ(300 = 310 + 330),NGUỒN VỐN > NỘ PHẢI TRẢ(300 = 310 + 330),NỘ PHẢI TRẢ(300 = 310 + 330),300,,15.012.572.488,13.595.481.547,718.158.182,1.740.370.825,300.0,,15012572488.0,13595481547.0,718158182.0,1740370825.0
Nợ ngắn hạn,NGUỒN VỐN > Nợ ngắn hạn,Nợ ngắn hạn,310,,3.971.178.995,2.653.866.107,65.834.559,381.818.469,310.0,,3971178995.0,2653866107.0,65834559.0,381818469.0
Phải trả người bán,NGUỒN VỐN > Phải trả người bán,Phải trả người bán,311,,527.850.896,419.650.935,36.416,366.107,311.0,,527850896.0,419650935.0,36416.0,366107.0
Người mua trả tiền trước,NGUỒN VỐN > Người mua trả tiền trước,Người mua trả tiền trước,312,,5.011.136,11.016.118,-,-,312.0,,5011136.0,11016118.0,,
Thuế phải nộp Nhà nước,NGUỒN VỐN > Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,313,16,29.966.819,106.059.649,-,-,313.0,16.0,29966819.0,106059649.0,,
Phải trả người lao động,NGUỒN VỐN > Phải trả người lao động,Phải trả người lao động,314,,11.626,-,-,-,314.0,,11626.0,,,
Chi phí phải trả,NGUỒN VỐN > Chi phí phải trả,Chi phí phải trả,315,17,798.272.246,683.665.697,778.096,504.530,315.0,17.0,798272246.0,683665697.0,778096.0,504530.0
"Các khoản phải trả, phải nộp ngắn hạn khác","NGUỒN VỐN > Các khoản phải trả, phải nộp ngắn hạn khác","Các khoản phải trả, phải nộp ngắn hạn khác",319,18,79.848.379,91.429.382,65.020.047,127.193.202,319.0,18.0,79848379.0,91429382.0,65020047.0,127193202.0
Vay ngắn hạn,NGUỒN VỐN > Vay ngắn hạn,Vay ngắn hạn,320,19,2.530.217.893,1.342.044.326,-,253.754.630,320.0,19.0,2530217893.0,1342044326.0,,253754630.0
Nợ dài hạn,NGUỒN VỐN > Nợ dài hạn,Nợ dài hạn,330,,11.041.393.493,10.941.615.440,652.323.623,1.358.552.356,330.0,,11041393493.0,10941615440.0,652323623.0,1358552356.0
Phải trả dài hạn khác,NGUỒN VỐN > Phải trả dài hạn khác,Phải trả dài hạn khác,337,18,1.581.573.288,2.251.402.102,652.323.623,1.053.474.188,337.0,18.0,1581573288.0,2251402102.0,652323623.0,1053474188.0
Vay và nợ dài hạn,NGUỒN VỐN > Vay và nợ dài hạn,Vay và nợ dài hạn,338,19,8.173.417.989,7.352.306.206,-,305.078.168,338.0,19.0,8173417989.0,7352306206.0,,305078168.0
Thuế thu nhập hoãn lại phải trả,NGUỒN VỐN > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,341,21,704.173.514,730.049.612,-,-,341.0,21.0,704173514.0,730049612.0,,
Dự phòng dài hạn,NGUỒN VỐN > Dự phòng dài hạn,Dự phòng dài hạn,342,20,582.228.702,607.857.520,-,-,342.0,20.0,582228702.0,607857520.0,,
VỐN CHỦ SỞ HỮU (400 = 410),NGUỒN VỐN > VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,11.595.134.409,11.510.812.380,9.361.488.697,9.401.371.817,400.0,,11595134409.0,11510812380.0,9361488697.0,9401371817.0
Vốn chủ sở hữu,NGUỒN VỐN > Vốn chủ sở hữu,Vốn chủ sở hữu,410,22,11.595.134.409,11.510.812.380,9.361.488.697,9.401.371.817,410.0,22.0,11595134409.0,11510812380.0,9361488697.0,9401371817.0
Vốn cổ phần,NGUỒN VỐN > Vốn cổ phần,Vốn cổ phần,411,23,7.194.473.280,7.194.473.280,7.194.473.280,7.194.473.280,411.0,23.0,7194473280.0,7194473280.0,7194473280.0,7194473280.0
- Cổ phiếu phổ thông có quyền biểu quyết,NGUỒN VỐN > - Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,7.035.448.980,7.035.448.980,7.035.448.980,7.035.448.980,,,7035448980.0,7035448980.0,7035448980.0,7035448980.0
- Cổ phiếu ưu đãi,NGUỒN VỐN > - Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,411b,,159.024.300,159.024.300,159.024.300,159.024.300,,,159024300.0,159024300.0,159024300.0,159024300.0
Thặng dư vốn cổ phần,NGUỒN VỐN > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,23,1.944.327.324,1.944.327.324,1.944.327.324,1.944.327.324,412.0,23.0,1944327324.0,1944327324.0,1944327324.0,1944327324.0
Vốn khác của chủ sở hữu,NGUỒN VỐN > Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,,(295.683.347),(295.683.347),-,-,414.0,,-295683347.0,-295683347.0,,
Lợi nhuận sau thuế chưa phân phối,NGUỒN VỐN > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,2.441.963.692,2.289.827.945,222.688.093,262.571.213,421.0,,2441963692.0,2289827945.0,222688093.0,262571213.0
- Lợi nhuận chưa phân phối đến cuối năm trước,NGUỒN VỐN > - Lợi nhuận chưa phân phối đến cuối năm trước,- Lợi nhuận chưa phân phối đến cuối năm trước,421a,,2.289.827.945,2.243.151.737,262.571.213,299.922.284,,,2289827945.0,2243151737.0,262571213.0,299922284.0
- Lợi nhuận/(lỗ) chưa phân phối năm nay,NGUỒN VỐN > - Lợi nhuận/(lỗ) chưa phân phối năm nay,- Lợi nhuận/(lỗ) chưa phân phối năm nay,421b,,152.135.747,46.676.208,(39.883.120),(37.351.071),,,152135747.0,46676208.0,-39883120.0,-37351071.0
Lợi ích cổ đông không kiểm soát,NGUỒN VỐN > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,310.053.460,377.867.178,-,-,429.0,,310053460.0,377867178.0,,
TỔNG NGUỒN VỐN(440 = 300 + 400),NGUỒN VỐN > TỔNG NGUỒN VỐN(440 = 300 + 400),TỔNG NGUỒN VỐN(440 = 300 + 400),440,,26.607.706.897,25.106.293.927,10.079.646.879,11.141.742.642,440.0,,26607706897.0,25106293927.0,10079646879.0,11141742642.0
