row_label_raw,row_label_full,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước_1,Thuế và các khoản phải nộp Nhà nước_2,Thuế và các khoản phải nộp Nhà nước_3,Thuế và các khoản phải nộp Nhà nước_4,Thuế và các khoản phải nộp Nhà nước_5,numeric__Thuế và các khoản phải nộp Nhà nước_1,numeric__Thuế và các khoản phải nộp Nhà nước_2,numeric__Thuế và các khoản phải nộp Nhà nước_3,numeric__Thuế và các khoản phải nộp Nhà nước_4,numeric__Thuế và các khoản phải nộp Nhà nước_5
,,,1/1/2022Nghìn VND,Số phải nộp trong nămNghìn VND,Số đã nộp/bù trừ trong nămNghìn VND,Chênh lệch do chuyển đổi tiền tệNghìn VND,31/12/2022Nghìn VND,,,,,
Thuế phải nộp Nhà nước Việt Nam,Thuế phải nộp Nhà nước Việt Nam,Thuế phải nộp Nhà nước Việt Nam,Thuế phải nộp Nhà nước Việt Nam,Thuế phải nộp Nhà nước Việt Nam,Thuế phải nộp Nhà nước Việt Nam,Thuế phải nộp Nhà nước Việt Nam,Thuế phải nộp Nhà nước Việt Nam,,,,,
Thuế giá trị gia tăng,Thuế phải nộp Nhà nước Việt Nam > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,474.598.937,(474.598.937),-,-,,474598937.0,-474598937.0,,
Thuế xuất nhập khẩu,Thuế phải nộp Nhà nước Việt Nam > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,221.906.308,(221.906.308),-,-,,221906308.0,-221906308.0,,
Thuế thu nhập doanh nghiệp,Thuế phải nộp Nhà nước Việt Nam > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,1.098.337,21.875.844,(1.220.340),-,21.753.841,1098337.0,21875844.0,-1220340.0,,21753841.0
Thuế bảo vệ môi trường,Thuế phải nộp Nhà nước Việt Nam > Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,-,20.868.536,(20.868.536),-,-,,20868536.0,-20868536.0,,
Thuế thu nhập cá nhân,Thuế phải nộp Nhà nước Việt Nam > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,9.166.108,136.288.922,(136.431.063),-,9.023.967,9166108.0,136288922.0,-136431063.0,,9023967.0
Thuế tài nguyên,Thuế phải nộp Nhà nước Việt Nam > Thuế tài nguyên,Thuế tài nguyên,-,459.285.699,(459.285.699),-,-,,459285699.0,-459285699.0,,
Các loại thuế khác,Thuế phải nộp Nhà nước Việt Nam > Các loại thuế khác,Các loại thuế khác,4.747.871,27.968.089,(31.937.046),-,778.914,4747871.0,27968089.0,-31937046.0,,778914.0
,,,15.012.316,1.362.792.335,(1.346.247.929),-,31.556.722,15012316.0,1362792335.0,-1346247929.0,,31556722.0
Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,,,,,
Thuế thu nhập doanh nghiệp,Thuế phải nộp cho cơ quan thuế nước ngoài > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,82.426.819,23.386.722,(45.928.004),(2.014.291),57.871.246,82426819.0,23386722.0,-45928004.0,-2014291.0,57871246.0
Các loại thuế khác,Thuế phải nộp cho cơ quan thuế nước ngoài > Các loại thuế khác,Các loại thuế khác,69.519.419,314.018.907,(311.455.063),(1.304.695),70.778.568,69519419.0,314018907.0,-311455063.0,-1304695.0,70778568.0
,,,151.946.238,337.405.629,(357.383.067),(3.318.986),128.649.814,151946238.0,337405629.0,-357383067.0,-3318986.0,128649814.0
,,,166.958.554,1.700.197.964,(1.703.630.996),(3.318.986),160.206.536,166958554.0,1700197964.0,-1703630996.0,-3318986.0,160206536.0
