row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm.,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm.,numeric__Số đầu năm
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,,,,
Công ty Xây dựng Hùng Anh,Chi phí phải trả > Công ty Xây dựng Hùng Anh,Công ty Xây dựng Hùng Anh,Đầu tư khác,Lãi vay,232.241.778,-,,,232241778.0,
Ông Đăng Hồng Anh,Chi phí phải trả > Ông Đăng Hồng Anh,Ông Đăng Hồng Anh,Cổ đông lớn,Lãi vay,1.516.933.097,-,,,1516933097.0,
Công ty Cổ phần Bao bì - Kho bãi Bình Tây,Chi phí phải trả > Công ty Cổ phần Bao bì - Kho bãi Bình Tây,Công ty Cổ phần Bao bì - Kho bãi Bình Tây,Bên liên quan,Lãi vay,5.318.371.972,-,,,5318371972.0,
Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Chi phí phải trả > Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Công ty liên kết,,51.436.849.314,-,,,51436849314.0,
Công ty TNHH MTV Kỹ thuật Xây Dyrng Toàn Thịnh Phát,Chi phí phải trả > Công ty TNHH MTV Kỹ thuật Xây Dyrng Toàn Thịnh Phát,Công ty TNHH MTV Kỹ thuật Xây Dyrng Toàn Thịnh Phát,Bên liên quan Thành viên ban giám đốc đến ngày 26 tháng 4 năm 2021,Lãi vay,6.188.735.898,-,,,6188735898.0,
Ông Vũ Quốc Thái Ông Nguyễn Hữu Đạt,Chi phí phải trả > Ông Vũ Quốc Thái Ông Nguyễn Hữu Đạt,Ông Vũ Quốc Thái Ông Nguyễn Hữu Đạt,Bên liên quan,Lãi vay,276.426,-,,,276426.0,
,,,,,6.840.389.433,,,,6840389433.0,
,,,,,71.533.797.918,-,,,71533797918.0,
