row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019(Triệu VND),VND,USD,EUR,Tiền tệ khác,Tổng cộng,numeric__VND,numeric__USD,numeric__EUR,numeric__Tiền tệ khác,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,1.095.064,588.471,47.200,24.066,1.754.801,1095064.0,588471.0,47200.0,24066.0,1754801.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,8.413.178,1.606.387,-,143.679,10.163.244,8413178.0,1606387.0,,143679.0,10163244.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,31.789.690,1.502.034,94.275,322.491,33.708.490,31789690.0,1502034.0,94275.0,322491.0,33708490.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,3.889,-,-,-,3.889,3889.0,,,,3889.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,(825.199),961.834,77.961,(41.650),172.946,-825199.0,961834.0,77961.0,-41650.0,172946.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,250.291.254,12.805.375,701.343,1.363.704,265.161.676,250291254.0,12805375.0,701343.0,1363704.0,265161676.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,22.339.037,-,-,-,22.339.037,22339037.0,,,,22339037.0
"Gốp vốn, đầu tư dài hạn","Tài sản > Gốp vốn, đầu tư dài hạn","Gốp vốn, đầu tư dài hạn",165.891,-,-,-,165.891,165891.0,,,,165891.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,4.798.972,10.958,-,7.576,4.817.506,4798972.0,10958.0,,7576.0,4817506.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,20.442.709,10.885.063,114,52.456,31.380.342,20442709.0,10885063.0,114.0,52456.0,31380342.0
,,,338.514.485,28.360.122,920.893,1.872.322,369.667.822,338514485.0,28360122.0,920893.0,1872322.0,369667822.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Nợ phải trả > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,725.071,-,-,-,725.071,725071.0,,,,725071.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,36.529.906,11.911.339,-,182.504,48.623.749,36529906.0,11911339.0,,182504.0,48623749.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,245.158.834,13.738.486,267.659,71.767,259.236.746,245158834.0,13738486.0,267659.0,71767.0,259236746.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",1.345.044,463.300,701.343,-,2.509.687,1345044.0,463300.0,701343.0,,2509687.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,26.732.764,-,-,-,26.732.764,26732764.0,,,,26732764.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,8.413.662,480.374,3.891,20.931,8.918.858,8413662.0,480374.0,3891.0,20931.0,8918858.0
,,,318.905.281,26.593.499,972.893,275.202,346.746.875,318905281.0,26593499.0,972893.0,275202.0,346746875.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,19.609.204,1.766.623,(52.000),1.597.120,22.920.947,19609204.0,1766623.0,-52000.0,1597120.0,22920947.0
