row_label_raw,row_label_full,col_0,Tại ngày 31/12/2020VND > Giá gốc,Tại ngày 31/12/2020VND > Giá trị hợp lý,Tại ngày 31/12/2020VND > Dự phòng,Tại ngày 01/01/2020VND > Giá gốc,Tại ngày 01/01/2020VND > Giá trị hợp lý,Tại ngày 01/01/2020VND > Dự phòng,numeric__Tại ngày 31/12/2020VND > Giá gốc,numeric__Tại ngày 31/12/2020VND > Giá trị hợp lý,numeric__Tại ngày 31/12/2020VND > Dự phòng,numeric__Tại ngày 01/01/2020VND > Giá gốc,numeric__Tại ngày 01/01/2020VND > Giá trị hợp lý,numeric__Tại ngày 01/01/2020VND > Dự phòng
Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,,,,,,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Cấp nước Đồng Nai,Công ty Cổ phần > Cấp nước Đồng Nai,Cấp nước Đồng Nai,657.132.846.787,1.420.558.020.000,-,657.132.846.787,1.196.596.170.000,-,657132846787.0,1420558020000.0,,657132846787.0,1196596170000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Càng Đồng Nai,Công ty Cổ phần > Càng Đồng Nai,Càng Đồng Nai,242.452.980.000,727.358.940.000,-,242.452.980.000,651.789.180.000,-,242452980000.0,727358940000.0,,242452980000.0,651789180000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Sonadezi Long Thành,Công ty Cổ phần > Sonadezi Long Thành,Sonadezi Long Thành,201.688.600.000,557.971.000.000,-,201.688.600.000,442.281.600.000,-,201688600000.0,557971000000.0,,201688600000.0,442281600000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Phát triển Đô thị Công nghiệp Số 2,Công ty Cổ phần > Phát triển Đô thị Công nghiệp Số 2,Phát triển Đô thị Công nghiệp Số 2,200.655.000.000,1.090.624.752.000,-,200.655.000.000,975.492.000.000,-,200655000000.0,1090624752000.0,,200655000000.0,975492000000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Môi trường Sonadezi,Công ty Cổ phần > Môi trường Sonadezi,Môi trường Sonadezi,197.027.735.730,278.586.267.000,-,197.027.735.730,194.049.744.600,-,197027735730.0,278586267000.0,,197027735730.0,194049744600.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Đầu tư Xây dựng và Vật liệu Đồng Nai,Công ty Cổ phần > Đầu tư Xây dựng và Vật liệu Đồng Nai,Đầu tư Xây dựng và Vật liệu Đồng Nai,53.838.407.700,109.940.292.000,-,53.838.407.700,219.880.584.000,-,53838407700.0,109940292000.0,,53838407700.0,219880584000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Sonadezi Giang Điền,Công ty Cổ phần > Sonadezi Giang Điền,Sonadezi Giang Điền,-,-,-,255.000.000.000,(*),-,,,,255000000000.0,,
Cộng,Công ty Cổ phần > Cộng,Cộng,1.552.795.570.217,,-,1.807.795.570.217,,-,1552795570217.0,,,1807795570217.0,,
