row_label_raw,row_label_full,Công ty liên doanh,Giấy phép hoạt động,Lĩnh vực kinh doanh,Tỷ lệ phần vốn sở hữu trực tiếp của Ngân hàng,numeric__Giấy phép hoạt động,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ phần vốn sở hữu trực tiếp của Ngân hàng
Công ty TNHHVietcombank – Bonday – Bến Thành,Công ty TNHHVietcombank – Bonday – Bến Thành,Công ty TNHHVietcombank – Bonday – Bến Thành,Giấy phép hoạt động số 2458/GP do Bộ Kế hoạch và Đầu tư cấp ngày 7 tháng 2 năm 2005 và hai Giấy phép điều chỉnh số 2458/GCNDC1/41/1 ngày 26 tháng 10 năm 2011 và số 2458/GCNDC2/41/1 ngày 28 tháng 12 năm 2012,Cho thuê văn phòng,52%,,,0.52
Công ty Liên doanhQuản lý Quỹ đầu tư chứng khoánVietcombank,Công ty Liên doanhQuản lý Quỹ đầu tư chứng khoánVietcombank,Công ty Liên doanhQuản lý Quỹ đầu tư chứng khoánVietcombank,"Giấy phép hoạt động số 06/UBCK-GPHĐQLQ do UBCKNN cấp ngày 2 tháng 12 năm 2005, sửa đổi lần cuối theo Giấy phép điều chỉnh số 17/GPĐC-UBCK ngày 6 tháng 8 năm 2015",Quản lý quỹ đầu tư,51%,,,0.51
Công ty TNHHBảo hiểm Nhân thọVietcombank – Cardif,Công ty TNHHBảo hiểm Nhân thọVietcombank – Cardif,Công ty TNHHBảo hiểm Nhân thọVietcombank – Cardif,Giấy phép đầu tư số 55/GP do Bộ Tài chính cấp ngày 23 tháng 10 năm 2008,Bảo hiểm nhân thọ,45%,,,0.45
