row_label_raw,row_label_full,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm trước
2.613.600.000.000(64.293.438.471),2.613.600.000.000(64.293.438.471),2.613.600.000.000(64.293.438.471),- (365.443.000.000),
(104.786.421.539),(104.786.421.539),(104.786.421.539),-,
192.260.942.507,(104.786.421.539) > 192.260.942.507,192.260.942.507,418.780.008.399,418780008399.0
185.461.125.876,185.461.125.876,185.461.125.876,-,
(134.335.507.071),(134.335.507.071),(134.335.507.071),-,
(814.670.967.726),(134.335.507.071) > (814.670.967.726),(814.670.967.726),(5.500.000.000.000),-5500000000000.0
1.069.000.000.000,1.069.000.000.000,1.069.000.000.000,-,
23.355.000.000.000,1.069.000.000.000 > 23.355.000.000.000,23.355.000.000.000,1.955.000.000.000,1955000000000.0
(14.650.000.000.000),1.069.000.000.000 > (14.650.000.000.000),(14.650.000.000.000),(329.207.694.445),-329207694445.0
(3.580.000.000.000),(3.580.000.000.000),(3.580.000.000.000),-,
3.580.000.000.000,3.580.000.000.000,3.580.000.000.000,-,
395.238.953.957,3.580.000.000.000 > 395.238.953.957,395.238.953.957,212.249.341.813,212249341813.0
(307.476.639.441),3.580.000.000.000 > (307.476.639.441),(307.476.639.441),(25.654.273.122),-25654273122.0
(29.063.013.698),(29.063.013.698),(29.063.013.698),-,
29.063.013.698,29.063.013.698,29.063.013.698,-,
(239.060.347.665),29.063.013.698 > (239.060.347.665),(239.060.347.665),(1.411.124.944.264),-1411124944264.0
588.892.071.963,29.063.013.698 > 588.892.071.963,588.892.071.963,930.701.169.959,930701169959.0
155.593.969.299,29.063.013.698 > 155.593.969.299,155.593.969.299,6.031.307.834,6031307834.0
(206.442.953.711),29.063.013.698 > (206.442.953.711),(206.442.953.711),(4.500.821.695),-4500821695.0
(1.264.454.717.579),(1.264.454.717.579),(1.264.454.717.579),-,
1.264.454.717.579,1.264.454.717.579,1.264.454.717.579,-,
(13.186.441.681.200),(13.186.441.681.200),(13.186.441.681.200),-,
1.285.128.725.034,1.285.128.725.034,1.285.128.725.034,-,
(1.285.128.725.034),(1.285.128.725.034),(1.285.128.725.034),-,
(26.767.469.870.450),(1.285.128.725.034) > (26.767.469.870.450),(26.767.469.870.450),(18.683.462.371.619),-18683462371619.0
27.004.875.491.451,(1.285.128.725.034) > 27.004.875.491.451,27.004.875.491.451,18.420.835.557.732,18420835557732.0
